CUSTOMERID,CUSTOMERNAME,CONTACTNAME,ADDRESS,CITY,POSTALCODE,COUNTRY
1,Patel & Sons,Rajesh Patel,MG Road 123,Ahmedabad,380001,Germany
2,Mumbai Spices,Aisha Khan,Linking Road 55,Mumbai,400001,Mexico
3,Delhi Delights,Anil Mehra,Connaught Place 10,New Delhi,110001,Mexico
4,Chennai Curries,Priya Iyer,Anna Salai 234,Chennai,600002,UK
5,Jaipur Jewels,Manish Singh,MI Road 5,Jaipur,302001,Sweden
6,Punjabi Dhaba,Gurmeet Singh,GT Road 47,Amritsar,143001,Germany
7,Bengal Bites,Saurav Das,Park Street 102,Kolkata,700016,France
8,Kolkata Sweets,Priyanka Bose,Salt Lake 404,Kolkata,700091,Spain
9,Lucknow Kababs,Amit Yadav,Hazratganj 67,Lucknow,226001,France
10,Goan Seafood,Rohit Fernandes,Miramar Beach Rd.,Panaji,403001,Canada
11,Hyderabad Biryani House,Sameer Ali,Charminar Rd. 89,Hyderabad,500002,UK
12,Gujarat Textiles,Kunal Shah,SG Highway 250,Surat,395007,Argentina
13,Kerala Coconut Oil,Latha Nair,Marine Drive 76,Kochi,682011,Mexico
14,Tamil Nadu Snacks,Arvind Krishnan,OMR Road 120,Chennai,600097,Switzerland
15,Rajma Chawal Express,Vikram Bhalla,South Ext. 3,New Delhi,110049,Brazil
16,Udaipur Handicrafts,Sanjay Rathore,Lake Palace Rd.,Udaipur,313001,UK
17,Bangalore Bytes,Shilpa Menon,MG Road 42,Bengaluru,560001,Germany
18,Jaipur Gems,Rohit Malhotra,Amber Rd.,Jaipur,302002,France
19,Indore Chaat,Nidhi Kulkarni,MG Road 108,Indore,452001,UK
20,Ahmedabad Kulfi,Jitesh Patel,S G Highway 55,Ahmedabad,380015,Austria
21,Punjab Sweets,Harpreet Kaur,Mall Road 23,Ludhiana,141001,Brazil
22,Varanasi Silks,Alok Mishra,Assi Ghat 19,Varanasi,221001,Spain
23,Mysore Palace Gifts,Vishal Desai,Palace Rd. 8,Mysuru,570001,France
24,Kolkata Rasgullas,Amitava Sen,Dum Dum 99,Kolkata,700030,Sweden
25,Jodhpur Blue Pottery,Manoj Singh,Clock Tower 3,Jodhpur,342001,Germany
26,Mumbai Dhokla,Bhavesh Mehta,Crawford Market,Mumbai,400003,France
27,Agra Marble,Pankaj Gupta,Taj Ganj,Agra,282001,Italy
28,Sikkim Teas,Nima Sherpa,MG Marg,Gangtok,737101,Portugal
29,Darjeeling Tea House,Prashant Tamang,Mall Rd.,Darjeeling,734101,Spain
30,Chandni Chowk,Ravi Kapoor,Chandni Chowk,New Delhi,110006,Spain
31,Bhopal Biryani,Sunil Khurana,Arera Colony,Bhopal,462016,Brazil
32,Ganga Textiles,Meena Sharma,Civil Lines,Allahabad,211001,USA
33,Meenakshi Jewels,Ravi Kannan,South Car St.,Madurai,625001,Venezuela
34,Rishikesh Rafts,Dev Shukla,Tapovan,Rishikesh,249201,Brazil
35,Goa Beach House,Rita Fernandes,Calangute,Panaji,403001,Venezuela
36,Leh Ladhakh Crafts,Tashi Norbu,Leh Main Market,Leh,194101,USA
37,Shimla Woolens,Kiran Thakur,Mall Rd.,Shimla,171001,Ireland
38,Nagpur Oranges,Anuj Bhatt,Itwari,Nagpur,440002,UK
39,Pondicherry French Cafe,Claude Dass,Rue Dumas,Puducherry,605001,Germany
40,Lucknow Chicken,Rizwan Ali,Aminabad,Lucknow,226004,France
41,Kanpur Chaat,Rajiv Shukla,Naseem Road,Kanpur,208001,France
42,Surat Diamonds,Manoj Jain,Gopi Talav,Surat,395001,Canada
43,Kashmir Pashmina,Fatima Begum,Dal Lake Road,Srinagar,190001,USA
44,Mangalore Fish Curry,Suresh Shetty,Mahatma Gandhi Rd.,Mangalore,575001,Germany
45,Vadodara Vada Pav,Viral Patel,Sayajigunj,Vadodara,390005,USA
46,Raipur Rice,Poonam Verma,Maharana Pratap Chowk,Raipur,492001,Venezuela
47,Nagaland Handlooms,Tashi Rani,Kohima Main Rd.,Kohima,797001,Venezuela
48,Bhuj Kutch Crafts,Amit Dholakia,Bhujodi Village,Bhuj,370001,USA
49,Coorg Coffee,Prasanna Rao,Madikeri Fort,Madikeri,571201,Italy
50,Patiala Shahi,Jagdeep Singh,Bharat Nagar,Patiala,147001,Belgium
51,Ahemdabad Antiques,Vijay Thakkar,Ashram Road,Ahmedabad,380009,Canada
52,Bhagalpur Silk,Anirudh Gupta,Khanjarpur,Bhagalpur,812001,Germany
53,Bihar Litti Chokha,Sanjay Kumar,Patna Junction,Patna,800001,UK
54,Gujarat Pottery,Ravi Mehta,Vasai,Vadodara,390015,Argentina
55,Rajasthan Handicrafts,Suman Jain,Chowki Dhani,Jaipur,302018,USA
56,Bhubaneswar Temples,Manjari Mohapatra,Khandagiri,Bhubaneswar,751030,Germany
57,Ranchi Spices,Arvind Kumar,Karam Toli,Ranchi,834001,France
58,Guwahati Teas,Bikram Dutta,Paltan Bazar,Guwahati,781001,Mexico
59,Visakhapatnam Fish,Ravi Teja,Beach Road,Visakhapatnam,530001,Austria
60,Pune Pastry Shop,Rani Nair,FC Road,Pune,411001,Portugal
61,Coimbatore Textiles,Karthik Ramaswamy,Opp. Bus Stand,Coimbatore,641001,Brazil
62,Vadodara Snacks,Anjali Desai,Ravi Nagar,Vadodara,390004,Brazil
63,Hampi Handlooms,Raghavendra Rao,Hampi Bazaar,Hampi,583239,Germany
64,Bhuj Handicrafts,Nilesh Mehta,Kutch Village,Bhuj,370020,Argentina
65,Alleppey Backwaters,Devika Nair,Lakeside Road,Alleppey,688001,USA
66,Manali Adventure,Ravi Sharma,Mall Road,Manali,175131,Italy
67,Andaman & Nicobar Resorts,Suman Chatterjee,Port Blair,Port Blair,744101,Brazil
68,Bikaner Bhujia,Kamlesh Singh,Bikaner Fort,Bikaner,334001,Switzerland
69,Agra Fort Crafts,Deepak Sharma,Agra Fort Rd.,Agra,282003,Spain
70,Sikkim Adventure,Nima Tamang,Gangtok Mall,Gangtok,737101,Norway
71,Kochi Fort,Sanjay Pillai,Fort Kochi,Kochi,682001,USA
72,Varanasi Crafts,Rohit Singh,Ravidas Ghat,Varanasi,221001,UK
73,Dharamshala Retreat,Sanjeev Sharma,McLeod Ganj,Dharamshala,176219,Denmark
74,Shimla Chocolates,Kiran Mehta,Mall Rd.,Shimla,171001,France
75,Jaisalmer Desert Camp,Rajesh Bhat,Sam Sand Dunes,Jaisalmer,345001,USA
76,Rishikesh Yoga,Radha Sharma,Laxman Jhula,Rishikesh,249304,Belgium
77,Agartala Handlooms,Prabir Dutta,Agartala Main Rd.,Agartala,799001,USA
78,Uttarakhand Honey,Arun Rawat,Dehradun Rd.,Dehradun,248001,USA
79,Chennai Dosa,Gopal Iyer,T. Nagar,Chennai,600017,Germany
80,Mysuru Pak,Veena Prakash,Krishna Raja Market,Mysuru,570004,Mexico
81,Kolkata Mishti,Sanjukta Roy,Bengaluru Rd.,Kolkata,700001,Brazil
82,Lucknow Tunday Kababi,Ali Raza,Hazratganj,Lucknow,226001,USA
83,Delhi Chaat,Nisha Arora,Connaught Place,New Delhi,110001,Denmark
84,Hyderabad Biryani,Rahul Kiran,Macca Masjid,Hyderabad,500001,France
85,Pondicherry French Bakery,Jacques Duval,Beach Road,Pondicherry,605001,France
86,Jodhpur Spices,Priya Jain,Clock Tower,Jodhpur,342001,Germany
87,Kochi Seafood,Anil Varma,Marine Drive,Kochi,682001,Finland
88,Agra Marble Inlay,Arvind Kumar,Taj Ganj,Agra,282001,Brazil
89,Bhopal Handicrafts,Sunita Pandey,Bada Talab,Bhopal,462001,USA
90,Nashik Wines,Vinay Patil,Grape Lane,Nashik,422001,Finland
